created_at,entry_id,field1,field2,field3,field4,latitude,longitude,elevation,status
2023-02-16T17:50:22-06:00,109,11916.66602,4942350.00000,1.23065,-18.75000,,,,
2023-02-16T17:52:30-06:00,110,11633.33301,4920600.00000,1.25507,-19.00000,,,,
2023-02-16T17:54:38-06:00,111,11700.00000,4910983.00000,1.24548,-18.75000,,,,
2023-02-16T17:56:45-06:00,112,11633.33301,4919500.00000,1.25479,-19.00000,,,,
2023-02-16T17:58:53-06:00,113,11833.33301,4925500.00000,1.23509,-19.00000,,,,
2023-02-16T18:01:01-06:00,114,11600.00000,4915166.50000,1.25729,-19.00000,,,,
2023-02-16T18:03:09-06:00,115,11633.33301,4926916.50000,1.25668,-19.00000,,,,
2023-02-16T18:05:16-06:00,116,11966.66602,4939466.50000,1.22479,-19.00000,,,,
2023-02-16T18:07:24-06:00,117,12016.66602,5001283.00000,1.23496,-19.25000,,,,
2023-02-16T18:09:32-06:00,118,11616.66602,4920300.00000,1.25680,-19.25000,,,,
2023-02-16T18:11:40-06:00,119,11883.33301,4932000.00000,1.23152,-19.25000,,,,
2023-02-16T18:13:47-06:00,120,11950.00000,4929733.00000,1.22408,-19.25000,,,,
2023-02-16T18:15:55-06:00,121,11300.00000,4929783.00000,1.29451,-19.25000,,,,
2023-02-16T18:18:03-06:00,122,11666.66602,4932400.00000,1.25449,-19.25000,,,,
2023-02-16T18:20:11-06:00,123,11566.66602,4929366.50000,1.26456,-19.25000,,,,
2023-02-16T18:22:18-06:00,124,11683.33301,4930866.50000,1.25231,-19.25000,,,,
2023-02-16T18:24:26-06:00,125,11716.66602,4930033.00000,1.24854,-19.25000,,,,
2023-02-16T18:26:34-06:00,126,11983.33301,4927500.00000,1.22012,-19.00000,,,,
2023-02-16T18:28:42-06:00,127,11700.00000,4929416.50000,1.25016,-19.25000,,,,
2023-02-16T18:30:49-06:00,128,11650.00000,4931000.00000,1.25593,-19.25000,,,,
2023-02-16T18:32:57-06:00,129,11783.33301,4932883.00000,1.24219,-19.25000,,,,
2023-02-16T18:35:05-06:00,130,12033.33301,4941900.00000,1.21861,-19.25000,,,,
2023-02-16T18:37:12-06:00,131,12033.33301,4851633.00000,1.19635,-19.00000,,,,
