created_at,entry_id,period_low,period_high,ratio,temperature
2022-02-21T19:05:25-06:00,1023,1974,704424,2.43045,0
2022-02-21T19:05:42-06:00,1024,2034,719646,2.40972,0
2022-02-21T19:05:58-06:00,1025,1998,708752,2.41600,0
2022-02-21T19:06:14-06:00,1026,1996,686010,2.34082,0
2022-02-21T19:06:30-06:00,1027,2080,726622,2.37927,0
2022-02-21T19:06:46-06:00,1028,2088,744434,2.42826,0
2022-02-21T19:07:03-06:00,1029,2088,744286,2.42777,0
2022-02-21T19:07:19-06:00,1030,1998,735366,2.50673,0
2022-02-21T19:07:35-06:00,1031,2034,740126,2.47830,0
2022-02-21T19:07:51-06:00,1032,2024,686118,2.30880,0
2022-02-21T19:08:07-06:00,1033,1988,726518,2.48902,0
2022-02-21T19:08:23-06:00,1034,1998,724560,2.46989,0
2022-02-21T19:08:39-06:00,1035,2018,694352,2.34346,0
2022-02-21T19:08:56-06:00,1036,2000,690256,2.35060,0
2022-02-21T19:09:12-06:00,1037,2000,707020,2.40769,0
2022-02-21T19:09:28-06:00,1038,1974,687228,2.37111,0
2022-02-21T19:09:44-06:00,1039,2036,741666,2.48102,0
2022-02-21T19:10:00-06:00,1040,1934,726338,2.55789,0
2022-02-21T19:10:16-06:00,1041,2004,689990,2.34501,0
2022-02-21T19:10:33-06:00,1042,1848,735008,2.70888,0
2022-02-21T19:10:49-06:00,1043,2010,733636,2.48590,0
2022-02-21T19:11:05-06:00,1044,2012,703550,2.38158,0
2022-02-21T19:11:21-06:00,1045,2038,687146,2.29638,0
2022-02-21T19:11:37-06:00,1046,2084,744258,2.43234,0
2022-02-21T19:11:54-06:00,1047,2014,735170,2.48615,0
2022-02-21T19:12:10-06:00,1048,1984,744472,2.55567,0
2022-02-21T19:12:26-06:00,1049,2088,721542,2.35359,0
2022-02-21T19:12:42-06:00,1050,2088,737204,2.40467,0
2022-02-21T19:12:58-06:00,1051,2086,743082,2.42617,0
2022-02-21T19:13:15-06:00,1052,2006,718408,2.43915,0
2022-02-21T19:13:31-06:00,1053,2090,688088,2.24232,0
2022-02-21T19:13:47-06:00,1054,2114,693858,2.23545,0
2022-02-21T19:14:03-06:00,1055,2000,741370,2.52467,0
2022-02-21T19:14:19-06:00,1056,2040,714322,2.38486,0
2022-02-21T19:14:36-06:00,1057,2110,687488,2.21912,0
2022-02-21T19:14:52-06:00,1058,1996,730494,2.49261,0
2022-02-21T19:15:08-06:00,1059,1996,739324,2.52274,0
2022-02-21T19:15:24-06:00,1060,2080,719016,2.35437,0
2022-02-21T19:15:40-06:00,1061,1992,728336,2.49024,0
2022-02-21T19:15:56-06:00,1062,2024,744304,2.50460,0
2022-02-21T19:16:12-06:00,1063,2008,720716,2.44455,0
